graph_type,n_left,n_right,num_vertices,num_edges,density,average_degree,max_degree,degree_variance,degree_gini,param,trial,seed,optimal_size,greedy_size,random_greedy_size,modern_estimate,modern_mu1,modern_mu2,selected_case,M_size,Mprime_estimate,B1_estimate,B2_estimate,unmatched_num_vertices,copied_num_vertices,case1_copied_num_vertices,case2_copied_num_vertices,epsilon,k,sparsify_c,greedy_ratio,random_greedy_ratio,modern_ratio,modern_error,modern_relative_error,t_greedy,t_random_greedy,t_modern,t_hopcroft
er,250,250,500,3197,0.051152,12.788,24,12.399056,0.15492899593368792,0.05,4,250090787,250,236,233,237.0,237.0,160.7721820298584,case1,237,0.0,0.0,211.87907210550702,26,260,260,2156,0.5,4,278,0.944,0.932,0.948,-13.0,-0.052,9.06000059330836e-05,7.9699995694682e-05,0.09077879998949356,0.0069221000012476
er,250,250,500,6275,0.1004,25.1,43,23.11,0.10722199203187244,0.1,0,250100787,250,244,242,246.0,246.0,148.0322938764522,case1,246,0.0,0.0,37.94014080779709,8,80,80,2048,0.5,4,278,0.976,0.968,0.984,-4.0,-0.016,0.00016969999705906957,0.00015439999697264284,0.09867979999398813,0.0029097000078763813
er,250,250,500,6199,0.099184,24.796,41,20.742384,0.10403097273753836,0.1,1,250110787,250,243,243,245.0,245.0,148.90027918879196,case1,245,0.0,0.0,51.9790027092544,10,100,100,2060,0.5,4,278,0.972,0.972,0.98,-5.0,-0.02,0.00018740000086836517,0.00017329999536741525,0.10620490000292193,0.0032085999991977587
er,250,250,500,6168,0.098688,24.672,40,22.116416,0.1072273022049286,0.1,2,250120787,250,242,237,243.0,243.0,151.95837006339164,case1,243,0.0,0.0,92.82424906595115,14,140,140,2084,0.5,4,278,0.968,0.948,0.972,-7.0,-0.028,0.00016610001330263913,0.00015150000399444252,0.14580220000061672,0.0031633000035071746
er,250,250,500,6188,0.099008,24.752,39,22.906496,0.10964867485455732,0.1,3,250130787,250,243,244,243.0,243.0,152.70717390099188,case1,243,0.0,0.0,100.05533858711699,14,140,140,2084,0.5,4,278,0.972,0.976,0.972,-7.0,-0.028,0.00027119999867863953,0.0001618000096641481,0.1309527999983402,0.002835499995853752
er,250,250,500,6324,0.101184,25.296,39,21.672384,0.1036818469323213,0.1,4,250140787,250,245,242,243.0,243.0,152.33277198219176,case1,243,0.0,0.0,96.43979382653406,14,140,140,2084,0.5,4,278,0.98,0.968,0.972,-7.0,-0.028,0.00015579999308101833,0.00022729999909643084,0.1498324000131106,0.0030990000086603686
powerlaw,50,50,100,25,0.01,0.5,7,1.43,0.8432,0.01,0,50010787,9,8,8,7.0,7.0,5.0804781292077905,case1,7,0.0,0.0,9.463457065046692,86,860,860,916,0.5,4,93,0.8888888888888888,0.8888888888888888,0.7777777777777778,-2.0,-0.2222222222222222,3.6999990697950125e-06,2.0000006770715117e-06,0.004153500005486421,0.00014689999807160348
powerlaw,50,50,100,25,0.01,0.5,8,1.73,0.8584,0.01,1,50020787,8,8,7,6.0,6.0,4.1122863379224475,case1,6,0.0,0.0,5.770624300541572,88,880,880,928,0.5,4,93,1.0,0.875,0.75,-2.0,-0.25,3.2999960239976645e-06,2.3000029614195228e-06,0.006858399996417575,0.00015789999451953918
powerlaw,50,50,100,25,0.01,0.5,8,1.49,0.8295999999999999,0.01,2,50030787,10,9,9,8.0,8.0,5.718571398943243,case1,8,0.0,0.0,9.968576518971604,84,840,840,904,0.5,4,93,0.9,0.9,0.8,-2.0,-0.2,3.3999967854470015e-06,2.2000021999701858e-06,0.003772999989450909,0.00013690000923816115
powerlaw,50,50,100,25,0.01,0.5,9,1.79,0.8435999999999999,0.01,3,50040787,8,6,7,7.0,7.0,5.647017668869967,case1,7,0.0,0.0,14.93444682613884,86,860,860,916,0.5,4,93,0.75,0.875,0.875,-1.0,-0.125,2.900007530115545e-06,1.7999991541728377e-06,0.005451099990750663,0.00017339999612886459
powerlaw,50,50,100,25,0.01,0.5,10,2.07,0.8580000000000001,0.01,4,50050787,8,7,8,7.0,7.0,4.9186096893043105,case1,7,0.0,0.0,7.900317133306077,86,860,860,916,0.5,4,93,0.875,1.0,0.875,-1.0,-0.125,4.7000066842883825e-06,2.4000037228688598e-06,0.004739500000141561,0.00015659999917261302
