graph_type,n_left,n_right,num_vertices,num_edges,density,expected_average_degree,average_degree,max_degree,degree_variance,degree_gini,param,trial,seed,optimal_size,greedy_size,random_greedy_size,modern_estimate,modern_mu1,modern_mu2,selected_case,M_size,Mprime_estimate,B1_estimate,B2_estimate,unmatched_num_vertices,copied_num_vertices,case1_copied_num_vertices,case2_copied_num_vertices,epsilon,k,sparsify_c,greedy_ratio,random_greedy_ratio,modern_ratio,modern_error,modern_relative_error,t_greedy,t_random_greedy,t_modern,t_modern_sparsify,t_modern_case1,t_modern_case2,t_modern_other,t_hopcroft
er,50,50,100,395,0.158,8.0,7.9,14,6.73,0.18470886075949355,0.16,1,50390787,50,47,45,45.0,45.0,36.144620575123696,case1,45,0.0,0.0,377.93956628006373,10,390,390,1830,0.3,16,93,0.94,0.9,0.9,-5.0,-0.1,1.4499993994832039e-05,1.37000170070678e-05,0.10932979997596703,0.00025969999842345715,0.0010302999871782959,0.10793540001031943,0.00010439998004585505,0.00026920001255348325
er,50,50,100,390,0.156,8.0,7.8,14,6.680000000000001,0.18620512820512825,0.16,2,50400787,50,48,47,45.0,45.0,37.15519387282896,case1,45,0.0,0.0,416.97540245753817,10,390,390,1830,0.3,16,93,0.96,0.94,0.9,-5.0,-0.1,1.2500007869675756e-05,1.1199997970834374e-05,0.13812700001290068,0.0002398999931756407,0.0012329999881330878,0.1365464999980759,0.00010760003351606429,0.0008120999846141785
er,50,50,100,407,0.1628,8.0,8.14,15,6.9604,0.18353808353808354,0.16,3,50410787,50,46,44,47.0,47.0,32.971103783819984,case1,47,0.0,0.0,210.09997583637775,6,234,234,1738,0.3,16,93,0.92,0.88,0.94,-3.0,-0.06,1.680001150816679e-05,1.2600008631125093e-05,0.08226840000133961,0.0001655000087339431,0.0007579999801237136,0.08122029999503866,0.0001246000174432993,0.0002629999944474548
er,50,50,100,411,0.1644,8.0,8.22,16,6.8316,0.1783698296836982,0.16,4,50420787,50,46,45,46.0,46.0,34.310023219903464,case1,46,0.0,0.0,284.44639221863025,8,312,312,1784,0.3,16,93,0.92,0.9,0.92,-4.0,-0.08,1.6099977074190974e-05,1.3699987903237343e-05,0.10159810000914149,0.00019069999689236283,0.0008415000047534704,0.10046680000959896,9.90999978967011e-05,0.0003333000058773905
er,50,50,100,361,0.1444,8.0,7.22,14,6.3515999999999995,0.19675900277008318,0.16,5,50430787,50,46,43,47.0,47.0,33.27822971018706,case1,47,0.0,0.0,221.9634570650467,6,234,234,1738,0.3,16,93,0.92,0.86,0.94,-3.0,-0.06,1.3499986380338669e-05,1.09999964479357e-05,0.06144029999268241,0.0001666999887675047,0.0007000000041443855,0.060487200011266395,8.639998850412667e-05,0.0002841999812517315
er,50,50,100,378,0.1512,8.0,7.56,17,8.1064,0.20576719576719582,0.16,6,50440787,50,46,44,45.0,45.0,35.53827659650054,case1,45,0.0,0.0,354.51806457357907,10,390,390,1830,0.3,16,93,0.92,0.88,0.9,-5.0,-0.1,1.6200006939470768e-05,1.2999982573091984e-05,0.09844359999988228,0.0002626000205054879,0.0019426000071689487,0.0961302999930922,0.00010809997911565006,0.0002792000013869256
er,50,50,100,396,0.1584,8.0,7.92,16,6.973599999999999,0.18762626262626259,0.16,7,50450787,50,47,44,46.0,46.0,34.15239587449528,case1,46,0.0,0.0,278.3576550172651,8,312,312,1784,0.3,16,93,0.94,0.88,0.92,-4.0,-0.08,1.680001150816679e-05,1.2900010915473104e-05,0.12060600001132116,0.00022059999173507094,0.0015388999891001731,0.11866340000415221,0.0001831000263337046,0.000301199994282797
er,50,50,100,385,0.154,8.0,7.7,17,9.13,0.21680519480519478,0.16,8,50460787,50,47,45,44.0,44.0,37.0550127549125,case1,44,0.0,0.0,435.73308163842546,12,468,468,1876,0.3,16,93,0.94,0.9,0.88,-6.0,-0.12,1.7400016076862812e-05,1.4399993233382702e-05,0.11524019998614676,0.0005367999838199466,0.0012372999917715788,0.11267510001198389,0.0007909999985713512,0.0003110000106971711
er,50,50,100,403,0.1612,8.0,8.06,14,6.2764,0.17406947890818847,0.16,9,50470787,49,45,44,43.0,43.0,38.15373603713266,case1,43,0.0,0.0,500.8013410240911,14,546,546,1922,0.3,16,93,0.9183673469387755,0.8979591836734694,0.8775510204081632,-6.0,-0.12244897959183673,1.5799974789842963e-05,1.2199976481497288e-05,0.1972834000189323,0.00029689999064430594,0.001225699990754947,0.19564380001975223,0.0001170000177808106,0.0002761000068858266
er,50,50,100,408,0.1632,8.0,8.16,14,6.8544,0.1814950980392156,0.16,10,50480787,50,47,45,46.0,46.0,34.19180271084733,case1,46,0.0,0.0,279.8798393176064,8,312,312,1784,0.3,16,93,0.94,0.9,0.92,-4.0,-0.08,2.069998299703002e-05,1.2100004823878407e-05,0.18142229999648407,0.00019800002337433398,0.0011792999866884202,0.17990660000941716,0.00013839997700415552,0.0003800999838858843
